sourceId,destinationId,rel
190818004,190817009,is-a
105729006,118222006,is-a
10573002,72860003,is-a
190905008,233661002,is-a
190981001,234539005,is-a
191265009,271737000,is-a
105784003,303607000,is-a
191322006,74576004,is-a
105788000,63653004,is-a
105789008,63653004,is-a
191527001,58214004,is-a
191542003,58214004,is-a
191659001,35489007,is-a
191713008,268715000,is-a
191736004,197480006,is-a
191765005,33449004,is-a
191928000,268727002,is-a
191928000,26416006,is-a
191956005,37057007,is-a
10586006,197480006,is-a
192008004,271794005,is-a
192041001,67195008,is-a
192099000,17961008,is-a
192454004,270487001,is-a
192496000,102943000,is-a
192562009,129104009,is-a
192616009,74732009,is-a
192644005,23511006,is-a
192686004,30057005,is-a
192701001,187192000,is-a
192727001,45170000,is-a
192759008,297157005,is-a
192805000,271569006,is-a
192877007,230241000,is-a
193000002,230390002,is-a
105972009,7393007,is-a
105973004,7393007,is-a
105974005,7393007,is-a
105975006,7393007,is-a
193064009,230744007,is-a
105980002,49601007,is-a
105981003,56265001,is-a
105986008,88230002,is-a
193148004,297946004,is-a
105994001,66091009,is-a
105995000,118938008,is-a
193198003,40733004,is-a
105997008,118948005,is-a
106000008,75934005,is-a
106000008,90708001,is-a
193237003,75047002,is-a
106007006,173300003,is-a
106007006,362972006,is-a
106008001,106007006,is-a
106009009,106007006,is-a
106010004,106007006,is-a
10601006,90834002,is-a
106018006,80690008,is-a
106020009,248536006,is-a
106022001,116367006,is-a
106023006,116367006,is-a
193570009,10810001,is-a
106049001,301282008,is-a
193683001,63102001,is-a
106064001,106063007,is-a
106070007,118241009,is-a
106073009,86185002,is-a
106100005,249273002,is-a
106102002,365433007,is-a
106104001,118232004,is-a
106106004,118232004,is-a
106126000,36456004,is-a
106129007,844005,is-a
106131003,106126000,is-a
106133000,118228005,is-a
106133000,286832009,is-a
194240006,359609001,is-a
106134006,247699008,is-a
194281003,3110003,is-a
194287004,3110003,is-a
106139001,36456004,is-a
106143002,118199002,is-a
106145009,102957003,is-a
106147001,102957003,is-a
106150003,102957003,is-a
106155008,106150003,is-a
106157000,106150003,is-a
106159002,106150003,is-a
106165002,299718000,is-a
106167005,365929007,is-a
106169008,102957003,is-a
106170009,106169008,is-a
106182000,299691001,is-a
10619002,53165003,is-a
194849004,281091000,is-a
194856005,22298006,is-a
106205006,115668003,is-a
194883006,59282003,is-a
195002007,368009,is-a
195069001,276796006,is-a
195070000,278482008,is-a
106233006,106232001,is-a
106234000,106232001,is-a
195275000,13290008,is-a
195382003,238761009,is-a
195469007,88580009,is-a
10629009,118940003,is-a
195662009,363746003,is-a
195662009,1532007,is-a
195677001,17741008,is-a
195867000,60600009,is-a
195889001,26726000,is-a
195911009,75570004,is-a
195951007,13645005,is-a
196398003,23997001,is-a
196452003,43144004,is-a
196491008,80483009,is-a
196499005,28826002,is-a
196546001,41188003,is-a
196623008,37657006,is-a
196682000,13200003,is-a
196707000,16121001,is-a
196884002,236037000,is-a
196903009,39839004,is-a
197078006,81060008,is-a
197084009,8114009,is-a
197151007,30037006,is-a
197152000,30037006,is-a
10649000,51742006,is-a
197180003,111367007,is-a
197197009,302169008,is-a
197247001,61018003,is-a
197247001,38851006,is-a
197250003,235777009,is-a
197270009,59927004,is-a
197284004,76783007,is-a
197321007,235856003,is-a
197352008,128241005,is-a
197441003,235917005,is-a
197442005,235917005,is-a
197456007,75694006,is-a
197480006,74732009,is-a
106544002,115173005,is-a
106556001,1582002,is-a
197811007,128073008,is-a
106567000,106566009,is-a
197834003,33655002,is-a
106568005,45970004,is-a
106569002,106568005,is-a
106570001,106568005,is-a
106571002,106568005,is-a
197861003,28626004,is-a
197870000,236634008,is-a
197871001,236634008,is-a
106575006,62300007,is-a
106576007,106575006,is-a
106579000,106576007,is-a
106583000,106582005,is-a
106584006,106575006,is-a
106585007,106584006,is-a
106598003,106597008,is-a
198100003,83620003,is-a
106605004,110388005,is-a
198328003,12337004,is-a
198436008,21801002,is-a
106651003,106649002,is-a
106652005,106651003,is-a
106668004,106649002,is-a
106670008,106668004,is-a
106672000,106668004,is-a
106687005,243670002,is-a
106688000,106687005,is-a
106689008,106688000,is-a
106702005,106687005,is-a
106703000,106702005,is-a
106724005,106723004,is-a
106726007,106723004,is-a
199612005,276609002,is-a
199612005,67645006,is-a
10679007,58265007,is-a
199879009,95320005,is-a
199879009,38164009,is-a
200133007,200138003,is-a
200138003,289258004,is-a
200146002,289258004,is-a
106830004,76222001,is-a
106847003,106844005,is-a
106851001,106850000,is-a
200619008,63332003,is-a
200652002,118930001,is-a
200751004,118930001,is-a
200936003,105969002,is-a
200938002,7119001,is-a
200965009,9014002,is-a
200973000,9014002,is-a
201048007,201049004,is-a
201060008,50043002,is-a
201067006,201066002,is-a
201091002,254658001,is-a
201138007,56317004,is-a
201698009,367506006,is-a
1070000,27678003,is-a
202245003,5137004,is-a
202310009,302154007,is-a
202317007,302156009,is-a
202405009,81808003,is-a
202413005,81808003,is-a
202472008,57676002,is-a
202478007,57676002,is-a
202479004,57676002,is-a
202480001,57676002,is-a
202482009,57676002,is-a
202482009,56608008,is-a
202483004,202472008,is-a
202664003,48522003,is-a
202708005,73589001,is-a
202734002,240216005,is-a
202794004,279039007,is-a
202856007,34840004,is-a
202882003,118932009,is-a
202882003,36948007,is-a
203019005,128477000,is-a
203449003,268029009,is-a
203465002,76069003,is-a
203468000,203465002,is-a
203681002,274152003,is-a
204036008,253146009,is-a
10725009,38341003,is-a
204327002,118712001,is-a
10729003,50043002,is-a
204552001,12070002,is-a
204552001,22668006,is-a
107337000,107336009,is-a
107348007,107347002,is-a
204942005,44513007,is-a
204984002,44513007,is-a
204985001,90708001,is-a
205043005,74877002,is-a
205237003,19829001,is-a
10741005,238017009,is-a
10741005,23585005,is-a
205460009,123572006,is-a
10743008,81120009,is-a
205720009,111312006,is-a
206409001,85539001,is-a
206523001,276521007,is-a
206528005,276521007,is-a
206567004,72552008,is-a
206568009,240301009,is-a
206588008,276587008,is-a
207363009,198288003,is-a
107645002,72724002,is-a
107658001,49755003,is-a
107666005,107658001,is-a
107669003,49755003,is-a
107670002,107669003,is-a
107671003,107669003,is-a
207787008,95851007,is-a
107673000,49755003,is-a
107675007,107673000,is-a
107680003,107673000,is-a
207985005,125606003,is-a
208215006,125607007,is-a
107733003,128927009,is-a
107736006,34896006,is-a
107736006,112697007,is-a
107737002,112697007,is-a
107737002,65801008,is-a
208388003,23406007,is-a
208393000,20511007,is-a
208513000,65966004,is-a
107769006,363187007,is-a
107769006,118702008,is-a
208719004,21351003,is-a
208731002,71620000,is-a
208733004,15574005,is-a
107784002,363187007,is-a
107784002,118710009,is-a
107793001,107784002,is-a
107836000,34896006,is-a
107836000,112802009,is-a
107837009,65801008,is-a
107837009,112802009,is-a
209633004,263134008,is-a
107876005,118665004,is-a
107877001,34896006,is-a
107878006,65801008,is-a
107896002,363187007,is-a
107907001,118673008,is-a
210078001,86175003,is-a
210294003,11386000,is-a
210325009,19491003,is-a
210339009,38354005,is-a
210341005,210339009,is-a
210342003,210339009,is-a
210344002,33931005,is-a
107938000,107936001,is-a
210358000,65759007,is-a
210363001,210358000,is-a
210363001,282783001,is-a
210410008,127314000,is-a
210412000,127314000,is-a
210458004,210456000,is-a
210483004,105615001,is-a
210500001,125648005,is-a
107957009,118821005,is-a
210563002,125652005,is-a
107963000,4974007,is-a
210712004,125663008,is-a
210771000,262595009,is-a
107982009,79537002,is-a
107982009,34896006,is-a
107983004,79537002,is-a
107983004,65801008,is-a
107994000,118685000,is-a
107996003,65801008,is-a
108003002,23136006,is-a
211036004,48125009,is-a
211039006,211037008,is-a
108021004,118674002,is-a
108022006,175898006,is-a
108028005,118960006,is-a
108034003,118960006,is-a
211476000,8513005,is-a
211476000,58189007,is-a
211642004,12776000,is-a
10810001,128535002,is-a
108116000,76879002,is-a
108147006,75787004,is-a
212442006,265738003,is-a
212484003,274182009,is-a
212490004,125649002,is-a
212491000,125661005,is-a
10818008,13213009,is-a
108188006,119580007,is-a
108189003,119583009,is-a
108193009,119595009,is-a
10823008,106652005,is-a
108257001,108252007,is-a
108262000,108261007,is-a
108264004,4804005,is-a
212962007,19674006,is-a
212966005,2492009,is-a
212976008,66466001,is-a
108273007,363680008,is-a
10828004,260411009,is-a
10828004,106234000,is-a
108283006,303911009,is-a
108294005,303859008,is-a
213246001,240276001,is-a
213257006,82832008,is-a
213257006,365275006,is-a
213281004,26436007,is-a
108300008,303859008,is-a
213293008,48661000,is-a
213294002,213293008,is-a
108305003,52052004,is-a
108310004,127777001,is-a
108311000,24642003,is-a
108329005,118222006,is-a
108365000,95320005,is-a
108371006,84167007,is-a
10849003,118292001,is-a
1085006,240706001,is-a
1085006,279499002,is-a
216325001,14783006,is-a
10879005,87579009,is-a
10890000,283015002,is-a
109006,197480006,is-a
109006,268664001,is-a
220522009,281758003,is-a
10904000,9851009,is-a
221360009,56731001,is-a
109228008,314522003,is-a
109245003,200652002,is-a
109255004,116224001,is-a
109255004,95361005,is-a
109256003,109255004,is-a
109262008,95361005,is-a
109263003,95361005,is-a
109263003,128294001,is-a
109271004,92185002,is-a
109284008,109266006,is-a
109284008,126505001,is-a
109286005,109284008,is-a
109286005,126510002,is-a
109287001,109283002,is-a
109290007,109266006,is-a
109290007,126516008,is-a
109294003,109266006,is-a
10930001,36110001,is-a
